,cost,address,unitType,bedrooms,bathrooms,hydro,heat,water,wifi_info,parking,agreement,pet,size,furnished,appliances,ac,outdoor,smoking,amenities,url
0,1335,"5920 Little Pine Loop, Regina, SK, S4X 0L4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,-1,0,Dishwasher,0,Balcony,0,Elevator in Building,/v-apartments-condos/regina/mccarthy-ridge-2-bedroom-apartment-for-rent/1558473633
0,799,"1424 Victoria Ave, Regina, SK, S4P 0P3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,520,0,Fridge / Freezer,0,Not Included,0,Not Included,/v-apartments-condos/regina/downtown-apartment-for-rent-1424-victoria-ave/1505780189
0,849,"3525 Avonhurst Dr, Regina, SK, S4R 3K2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,763,0,"Laundry (In Building),Fridge / Freezer",0,Yard,0,Not Included,/v-apartments-condos/regina/coronation-park-apartment-for-rent-3525-avonhurst-dr/1539483938
0,999,"2835 Parliament Ave, Regina, SK, S4S 2L1",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,Fridge / Freezer,0,Not Included,0,Not Included,/v-apartments-condos/regina/parliament-place-apartment-for-rent-2835-parliament-ave/1505779159
0,799,"3940 Retallack Street, Regina, SK, S4S 3B9",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,Fridge / Freezer,0,Not Included,0,Not Included,/v-apartments-condos/regina/parliament-place-apartment-for-rent-3940-retallack-street/1505749978
0,1074,"4100 Retallack Street, Regina, SK, S4S 3C3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,720,0,Fridge / Freezer,0,Not Included,0,Not Included,/v-apartments-condos/regina/parliament-place-apartment-for-rent-4100-retallack-street/1505750014
0,1355,"3301 Green Poppy Street, Winnipeg, MB, S4V3P6",Apartment,2,1.0,0,0,0,Not Included,Not Available,Not Available,0,677,0,Not Included,0,Not Included,0,Not Included,/v-apartments-condos/regina/monogram-rentals-regina-2-bedroom-suite/1567424611
0,1135,"3301 Green Poppy Street, Winnipeg, MB, S4V3P6",Apartment,1,1.0,0,0,0,Not Included,Not Available,Not Available,0,541,0,Not Included,0,Not Included,0,Not Included,/v-apartments-condos/regina/monogram-rentals-regina-1-bedroom-suite/1567424599
0,855,"10 Schemmer Bay, Regina, SK S4R 7Z4, Canada",Apartment,1 + Den,1.0,1,1,1,Not Included,1,Month-to-month,0,1,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,1,"24 Hour Security,Elevator in Building",/v-apartments-condos/regina/northgate-manor-seniors-building-10-schemmer-bay-regina/1518533273
0,800,"2353 Ottawa St, Regina, SK S4P 1R2, Canada",Apartment,1,1.0,0,1,1,Not Included,2,1 Year,0,700,0,"Laundry (In Building),Fridge / Freezer",0,Not Included,0,Not Included,/v-apartments-condos/regina/bright-1-bedroom-suite-for-rent-is-available-now/1561329661
0,1475,"1942 Elphinstone St., S4T 3N2, Regina, SK",House,2,1.0,0,0,0,Not Included,2,1 Year,0,1000,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",0,Yard,0,Not Included,/v-apartments-condos/regina/lovely-2-bedroom-house-in-cathedral/1570895763
0,800,"144 1st Ave north, S3N 1J8, Yorkton, SK",Apartment,1,1.0,0,1,1,Not Included,1,Month-to-month,0,900,0,"Laundry (In Building),Fridge / Freezer",0,Not Included,0,Not Included,/v-apartments-condos/regina/yorkton-1-bedroom-apartment-available-august-1st/1570894908
0,1279,"193 Lockwood Rd., Regina, SK, S4S 6G9",Apartment,1,1.0,1,1,1,Cable / TV,0,1 Year,1,705,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,1,24 Hour Security,/v-apartments-condos/regina/1-bedroom-basement-premium-193-lockwood-rd-renovated-suite/1570885339
0,849,"3 Kleisinger Crescent, Regina, SK, S4R 6Z4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,-1,0,"Dishwasher,Fridge / Freezer",0,Not Included,0,Not Included,/v-apartments-condos/regina/north-apartment-for-rent-3-kleisinger-crescent/1505750447
0,695,"2025 Rose Street, Regina, SK, S4P 2A3",Apartment,Bachelor/Studio,1.0,0,1,1,Not Included,0,1 Year,1,-1,0,"Laundry (In Building),Fridge / Freezer",0,Not Included,1,Not Included,/v-apartments-condos/regina/downtown-apartment-for-rent-2025-rose-street/1505779656
0,754,"4039 Retallack Street, Regina, SK, S4S 3C2",Apartment,Bachelor/Studio,1.0,0,1,1,Not Included,0,1 Year,1,480,0,Fridge / Freezer,0,Not Included,0,Not Included,/v-apartments-condos/regina/parliament-place-apartment-for-rent-4039-retallack-street/1505750023
0,850,", Regina S4t3s2 SK, Canada",House,2,1.0,0,0,0,Not Included,0,1 Year,0,900,0,Fridge / Freezer,0,Yard,0,Not Included,/v-apartments-condos/regina/large-two-bedroom-house/1570891578
0,1180,"10 Michener Drive, Regina, SK, S4V 1R2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,975,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,Gym,/v-apartments-condos/regina/renovated-2-bedroom-2-months-free-rent/1570885880
0,1085,"6725 Rochdale Blvd, Regina, SK, S4X 2Z2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,798,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Not Included,0,Gym,/v-apartments-condos/regina/lakewood-2-br/1570885847
0,1487,"3005  Trombley St, Regina, SK, S4V 3W6",Apartment,3,2.0,0,0,0,Internet,0,1 Year,1,1074,0,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",1,"Yard,Balcony",0,Not Included,/v-apartments-condos/regina/trombley-street-apartments-3-bedroom-apartment-for-rent/1569699098
0,940,"5659 Campling Avenue, Regina, SK, S4W 0P8",Apartment,1,1.0,0,0,0,Not Included,0,1 Year,1,576,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Yard,0,Not Included,/v-apartments-condos/regina/campling-avenue-duplex-suites-basement-suite-house-for-rent/1568801712
0,1250,"5663 Mitchinson Way, Regina, SK, S4W 0P9",Apartment,3,1.0,0,0,0,Not Included,0,1 Year,1,1000,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Yard,0,Not Included,/v-apartments-condos/regina/mitchinson-way-fourplex-3-bedroom-lower-house-for-rent/1568798625
0,880,"105 Cambridge Avenue, Regina, SK, S4N 5N6",Apartment,1,1.0,0,1,1,Not Included,1,1 Year,1,-1,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/limited-time-300-off-june-rent-1-bedroom-apartment-east-side/1505837145
0,920,"105 Cambridge Avenue, Regina, SK, S4N 5N6",Apartment,2,1.0,0,1,1,Not Included,1,1 Year,1,-1,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/limited-time-200-off-june-rent-close-to-victoria-square-mall/1505837180
0,1465,"3367 Green Poppy Street, Regina, SK, S4W 0G3",Townhouse,2,1.0,0,0,0,Not Included,1,1 Year,1,807,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/2-bedroom-lower-corner-townhome-rental/1568880375
0,1295,"5300 Parliament Ave, Regina, SK, S4W 0R5",Apartment,2,1.0,0,0,1,Not Included,1,1 Year,1,694,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Elevator in Building",/v-apartments-condos/regina/two-bedroom-rental-pet-friendly/1540768540
0,800,"405 Moltke Ave, Langenburg, SK S0A 2A0, Canada",Basement,1,1.0,1,1,1,Not Included,2,Month-to-month,0,768,1,"Laundry (In Building),Dishwasher,Fridge / Freezer",1,Yard,0,Not Included,/v-apartments-condos/regina/1-bedroom-renovated-and-furnished-basement-suite-in-langenburg/1570879495
0,2200,"2300 Broad Street, S4P1Y8, Regina, SK",Condo,2 + Den,2.0,0,1,1,Not Included,1,1 Year,0,1400,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",/v-apartments-condos/regina/condo-for-rent/1568264269
0,1090,"2131 Broad Street, Regina, SK, S4P 3W4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,-1,0,"Laundry (In Building),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Elevator in Building",/v-apartments-condos/regina/stunning-2-bedroom-amazing-view/1549295156
0,850,"2131 Broad Street, Regina, SK, S4P 3W4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,-1,0,"Laundry (In Building),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Elevator in Building",/v-apartments-condos/regina/location-location-location-downtown-close-to-all-you-need/1546661658
0,1020,"445  Retallack Street, Regina, SK, S4R 3N4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,1000,0,"Laundry (In Building),Fridge / Freezer",1,Not Included,0,Not Included,/v-apartments-condos/regina/2-bedroom-apartment-with-parking-available-pet-friendly/1562934597
0,750,"1602 Victoria Ave, Regina, SK, S4P 0P7",Apartment,Bachelor/Studio,1.0,0,1,1,Not Included,0,1 Year,1,-1,0,"Laundry (In Building),Fridge / Freezer",0,Not Included,0,Not Included,/v-apartments-condos/regina/pet-friendly-bachelor-apartment-close-to-parks/1569062666
0,950,"2630  6th Avenue N, Regina, SK, S4R 0P2",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,631,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/1-bedroom-for-rent-close-to-northgate-mall/1569895301
0,900,"2311 Park Street, S4N 2G9, Regina, SK",Basement,Bachelor/Studio,1.0,1,1,1,Internet,1,1 Year,1,500,1,"Laundry (In Building),Dishwasher,Fridge / Freezer",0,Yard,0,Not Included,/v-apartments-condos/regina/basement-rental-dog-friendly/1570872256
0,620,"15  Darlington St. E, Yorkton, SK, S3N 0C1",Apartment,Bachelor/Studio,1.0,0,1,1,Not Included,0,1 Year,1,290,0,"Laundry (In Building),Fridge / Freezer",0,Yard,0,Not Included,/v-apartments-condos/regina/bachelor-apartment-with-parking-available-close-to-parkland-col/1568952801
0,849,"3525 Avonhurst Dr, Regina, SK, S4R 3K2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,763,0,"Laundry (In Building),Fridge / Freezer",0,Yard,0,Not Included,/v-apartments-condos/regina/coronation-park-apartment-for-rent-3525-avonhurst-dr/1539483938
0,799,"1424 Victoria Ave, Regina, SK, S4P 0P3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,520,0,Fridge / Freezer,0,Not Included,0,Not Included,/v-apartments-condos/regina/downtown-apartment-for-rent-1424-victoria-ave/1505780189
0,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,840,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Elevator in Building",/v-apartments-condos/regina/harbour-view-estates-2-bedroom-1-bathroom-apartment-for-rent/1551597919
0,820,"4040 Retallack St., Regina, SK, S4S 3C3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,0,-1,0,"Laundry (In Building),Fridge / Freezer",0,Yard,0,Not Included,/v-apartments-condos/regina/muxmore-one-bedroom-apartment-for-rent/1564686400
0,1750,"14 Milford Crescent, Regina, SK S4N 1K7, Canada",House,3 + Den,2.0,0,0,0,Not Included,3+,1 Year,1,1300,0,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",1,"Yard,Balcony",0,Not Included,/v-apartments-condos/regina/spacious-4-bedrooms-2-bathroom-house-glencairn-for-rent/1567616073
0,1000,"69  Kleisinger Cres, Regina, SK, S4R 6Z4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,761,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/2-bedroom-apartment-with-balcony-available/1546400906
0,800,"399  Parkview Road, Yorkton, SK, S3N 2L4",House,2,1.0,0,1,1,Not Included,0,1 Year,1,743,0,"Laundry (In Building),Fridge / Freezer",0,Balcony,0,Not Included,/v-apartments-condos/regina/2-bedroom-apartment-available-heat-water-included/1568952675
0,800,"378  Parkview Road, Yorkton, SK, S3N 3A9",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,-1,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/pet-friendly-2-bedroom-apartment-for-rent/1568952726
0,650,"2901  5th Ave, Regina, SK, S4T 0L3",Apartment,Bachelor/Studio,1.0,0,1,1,Not Included,0,1 Year,1,308,0,"Laundry (In Building),Fridge / Freezer",0,Not Included,0,Not Included,/v-apartments-condos/regina/bachelor-apartment-for-rent-pet-friendly/1566661441
0,850,"1454  Rae St, Regina, SK, S4T 2C5",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,684,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/pet-friendly-2-bedroom-apartment-with-parking-available/1545349765
0,800,"1233 3rd St, Estevan, SK S4A 0R8, Canada",Townhouse,2 + Den,1.0,0,1,1,Not Included,1,1 Year,1,1000,0,Laundry (In Building),0,Yard,0,Not Included,/v-apartments-condos/regina/estevan-large-2-bedroom-town-house-private-entrance-interior/1570867728
0,700,"173 Procter Pl, Regina, SK S4S 4G1, Canada",Apartment,1,1.0,0,1,1,Not Included,1,Month-to-month,0,300,0,"Laundry (In Building),Fridge / Freezer",0,Not Included,0,"24 Hour Security,Bicycle Parking",/v-apartments-condos/regina/:-1-bedroom-apartment-for-rent-near-university/1570866410
0,1100,"67 Angus Rd, Regina, SK S4R 3L1, Canada",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,0,1140,0,"Laundry (In Building),Dishwasher,Fridge / Freezer",1,Balcony,0,"24 Hour Security,Storage Space,Elevator in Building",/v-apartments-condos/regina/2-bedroom-renovated-apartment/1566266156
0,935,"505 Rose St, Regina, SK S4R 1Z4, Canada",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,0,800,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/affordable-2-bedroom-suite/1570522689
0,1295,"4665 Skinner Cres, Regina, SK S4W 0A3, Canada",Apartment,1 + Den,1.0,0,0,0,Not Included,1,1 Year,0,800,1,Laundry (In Unit),1,Yard,0,Not Included,/v-apartments-condos/regina/tired-of-apartment-living-this-can-be-your-view/1570166372
0,1050,"5310 Universal Cr., S4W 0K8, Regina, SK",Basement,2,1.0,0,0,0,Not Included,1,1 Year,0,1033,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",0,Balcony,0,Not Included,/v-apartments-condos/regina/2-bedroom-basement-suite-in-harbour-landing/1570686647
0,1099,"105 Cambridge Avenue, Regina, SK, S4N 5N6",Apartment,3,1.0,0,1,1,Not Included,1,1 Year,1,-1,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/very-spacious-3-bedroom-east-side-close-to-victoria-square/1505837182
0,1198,"1701 Horizons Way, Regina, SK, S4Y 0G5",Apartment,2,2.0,0,0,1,Not Included,1,1 Year,1,913,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Elevator in Building",/v-apartments-condos/regina/pet-friendly-two-bedroom-two-bath-with-in-suite-laundry-for/1538474538
0,1298,"1251 N Galloway Street, Regina, SK, S4X 0M6",Apartment,2,1.0,0,1,1,Not Included,1,1 Year,1,859,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,Elevator in Building,/v-apartments-condos/regina/pet-friendly-two-bedroom-one-bath-with-in-suite-laundry-for/1552370301
0,1600,"5500 Mitchinson Way, Regina, SK S4W 0N9, Canada",Condo,2 + Den,2.0,1,1,1,Not Included,2,1 Year,0,900,0,"Laundry (In Unit),Dishwasher",1,Balcony,0,Elevator in Building,/v-apartments-condos/regina/2-bedroom-2-bath-2-parking-main-floor-condo-harbour-landing/1570843431
0,1148,"41 Munroe Place, Regina, SK, S4S 6A7",Apartment,2,1.0,0,1,1,Cable / TV,0,1 Year,1,850,0,"Laundry (In Unit),Fridge / Freezer",1,"Yard,Balcony",1,"24 Hour Security,Storage Space",/v-apartments-condos/regina/2-bedroom-41-munroe-place/1505840039
0,1022,"22-41 Munroe Pl., Regina, SK, S4S 6A7",Apartment,2,1.0,0,1,1,Cable / TV,0,1 Year,1,860,0,"Laundry (In Building),Fridge / Freezer",0,Balcony,1,"24 Hour Security,Storage Space",/v-apartments-condos/regina/2-bedroom-22-41-munroe-pl/1505838359
0,1268,"700 Gladmer Pk., Regina, SK, S4P 2W9",Townhouse,3,1.0,0,0,0,Cable / TV,1,1 Year,1,1056,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",0,"Yard,Balcony",1,Not Included,/v-apartments-condos/regina/3-bedroom-townhouse-700-gladmer-pk/1562235323
0,1800,"2 Donahue Ave, Regina, SK S4R 3Y5, Canada",House,3,1.0,1,1,1,Cable / TVInternet,2,Month-to-month,0,1000,1,"Laundry (In Building),Dishwasher,Fridge / Freezer",1,Yard,0,Not Included,/v-apartments-condos/regina/3-bedroom-main-floor-house-furnished-utilities-included/1568832823
0,1160,"3367 Green Poppy Street, Regina, SK, S4W 0G3",Townhouse,1,1.0,0,0,0,Not Included,1,1 Year,1,529,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/one-bedroom-townhome-rental-private-entrance/1567505520
0,1285,"3928 Green Falls Drive, Regina, SK, S4V 3M1",Apartment,2,1.0,0,1,1,Not Included,0,Month-to-month,1,840,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Pool,Elevator in Building",/v-apartments-condos/regina/sterling-manor-2-bedroom-1-bathroom-apartment-for-rent/1549748796
0,1495,"4013 Harbour Landing Dr, Regina, SK, S4W 0E5",Apartment,2,1.0,0,0,1,Not Included,0,Month-to-month,1,-1,1,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Pool,Elevator in Building",/v-apartments-condos/regina/sky-harbour-estates-furnished-2-bedroom-apartment-for-rent/1569971948
0,1190,"5929 Rochdale Blvd, Regina, SK, S4X 0M3",Apartment,2,1.0,0,0,1,Not Included,0,1 Year,1,691,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,Elevator in Building,/v-apartments-condos/regina/rochdale-crossing-2-bedroom-barrier-free-apartment-for-rent/1569485402
0,1190,"4013 Harbour Landing Dr, Regina, SK, S4W 0E5",Apartment,2,1.0,0,0,1,Not Included,0,1 Year,1,691,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Pool,Elevator in Building",/v-apartments-condos/regina/sky-harbour-estates-2-bedroom-1-bathroom-apartment-for-rent/1560277818
0,1190,"5929 Rochdale Blvd, Regina, SK, S4X 0M3",Apartment,2,1.0,0,0,1,Not Included,0,1 Year,1,-1,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,Elevator in Building,/v-apartments-condos/regina/rochdale-crossing-2-bedroom-1-bathroom-apartment-for-rent/1567421400
0,1240,"5601 Gordon Road, Regina, SK, S4W 0M6",Apartment,1,1.0,0,0,1,Not Included,0,1 Year,1,780,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,Elevator in Building,/v-apartments-condos/regina/deveraux-heights-1-bedroom-loft-apartment-for-rent/1563407783
0,950,"341 Bradbrooke Dr, Yorkton, SK, S3N 2K7",Apartment,3,1.0,0,0,0,Not Included,1,1 Year,1,-1,0,Not Included,0,Not Included,0,Not Included,/v-apartments-condos/regina/newly-renovated-3-bedroom-apartments-available-in-yorkton/1536421913
0,850,"341 Bradbrooke Dr, Yorkton, SK, S3N 2K7",Apartment,2,1.0,0,0,0,Not Included,1,1 Year,0,-1,0,Not Included,0,Not Included,0,Not Included,/v-apartments-condos/regina/1-and-2-bedroom-newly-renovated-apartments-for-rent-in-yorkton/1532403191
0,-1,"420 Sumner Street, Esterhazy, SK, S0A 0X0",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,0,-1,0,Not Included,0,Not Included,0,Not Included,/v-apartments-condos/regina/two-bedroom-spacious-apartment/1554941536
0,-1,"620 Arcola Street, Esterhazy, SK, S0A 0X0",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,1,-1,1,"Laundry (In Building),Fridge / Freezer",0,Not Included,0,Not Included,/v-apartments-condos/regina/2-bedroom-furnished-apartment/1546231447
0,1119,"Centennial St, Regina, SK S4S 6W3, Canada",Apartment,2,1.0,0,1,1,Cable / TVInternet,1,Month-to-month,1,860,1,Laundry (In Building),1,Balcony,1,"Gym,Storage Space",/v-apartments-condos/regina/low-price-transferring:-fully-furnished-comfy-2bedroom-apartment/1570649640
0,950,"2131 Broad Street, Regina, SK, S4P 3W4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,-1,0,"Laundry (In Building),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Elevator in Building",/v-apartments-condos/regina/watch-the-sun-set-over-the-city-on-your-large-private-balcony/1553939908
0,990,"653 Donald St, Esterhazy, Saskatchewan,, Esterhazy S0A 0X0 SK",Duplex/Triplex,2 + Den,1.0,0,0,0,Not Included,2,1 Year,0,900,0,"Laundry (In Unit),Fridge / Freezer",0,Yard,0,Not Included,/v-apartments-condos/regina/1-2-duplex-for-rent/1570820830
0,1300,"1839 Scarth St, S4P 2G9, Regina, SK",Apartment,1,1.0,1,1,1,Cable / TVInternet,1,Month-to-month,1,900,1,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Not Included,0,Not Included,/v-apartments-condos/regina/beautiful-fully-furnished-downtown-condo-available-for-july-1/1570819878
0,923,"405 Rae St, Regina, SK S4R 3M3, Canada",Apartment,2,1.0,0,1,1,Not Included,1,1 Year,0,792,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,"24 Hour Security,Bicycle Parking,Storage Space",/v-apartments-condos/regina/henry-kelsey-apartments-large-two-bedroom/1570818189
0,955,"34 Spence Street, Regina, SK, S4S 4H4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/1-bedroom-apartment-for-rent-with-balcony/1570798286
0,600,"355  Northview Rd, Yorkton, SK, S3N 2X6",Apartment,Bachelor/Studio,1.0,0,1,1,Not Included,0,1 Year,1,362,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/bachelor-apartment-available-for-rent/1570797133
0,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",Apartment,1,1.0,0,0,1,Not Included,1,1 Year,1,350,0,"Laundry (In Unit),Fridge / Freezer",0,Yard,0,Not Included,/v-apartments-condos/regina/wonderful-suites-ready-for-rental/1570814171
0,500,"2129 Hamilton St., Regina, SK, S4P 2E5",Apartment,Bachelor/Studio,1.0,0,1,1,Not Included,0,1 Year,0,-1,0,"Laundry (In Building),Fridge / Freezer",0,Not Included,0,Not Included,/v-apartments-condos/regina/bellevue-bachelor-apartment-for-rent/1570808861
0,1060,"34 Spence Street, Regina, SK, S4S 4H4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,800,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/2-bedroom-apartment-for-rent-with-balcony/1570798364
0,940,"331  Broad Street North, Regina, SK, S4R 2X8",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,659,0,"Laundry (In Building),Fridge / Freezer",1,Balcony,0,Not Included,/v-apartments-condos/regina/newly-renovated-1-bedroom-apartment-for-rent/1570072030
0,750,"2351 Rose St., Regina, SK, S4P 2B1",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,0,-1,0,"Laundry (In Building),Fridge / Freezer",0,Not Included,0,Not Included,/v-apartments-condos/regina/vernfield-one-bedroom-apartment-for-rent/1559944412
0,1285,"3928 Green Falls Drive, Regina, SK, S4V 3M1",Apartment,2,1.0,0,1,1,Not Included,0,Month-to-month,1,840,0,"Laundry (In Unit),Dishwasher,Fridge / Freezer",1,Balcony,0,"Gym,Pool,Elevator in Building",/v-apartments-condos/regina/sterling-manor-2-bedroom-1-bathroom-apartment-for-rent/1549748796
