,cost,address,unitType,bedrooms,bathrooms,hydro,heat,water,wifi_info,parking,agreement,pet,size,furnished,appliances,ac,outdoor,smoking,amenities,url,has_den
217,1000,"Garnet St, Regina, SK, Canada, S4T 2Y2",House,2,1.0,0,0,0,Not Included,2,1 Year,0,840,1,"['Laundry (In Unit)', 'Laundry (In Building)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/house-for-rent/1570438849,0
219,1300,"2030 Edgar Street, Regina, SK, S4N 3K6",Apartment,3,1.5,0,0,0,Not Included,0,1 Year,1,1100,0,"['Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/2030-edgar-st-three-bedroom-house-for-rent/1545014245,0
220,1398,"502 University Park Drive, Regina, SK, S4V 3L8",Apartment,2,1.0,0,1,1,Not Included,1,1 Year,1,954,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Elevator in Building'],/v-apartments-condos/regina/pet-friendly-two-bedroom-one-bath-den-with-in-suite-laundry/1568454319,1
221,1319,"41 Munroe Place, Regina, SK, S4S 6A7",Apartment,1,1.0,0,1,1,Cable / TV,0,1 Year,1,650,0,"['Laundry (In Unit)', 'Fridge / Freezer']",1,"['Yard', 'Balcony']",1,"['24 Hour Security', 'Storage Space']",/v-apartments-condos/regina/1-bedroom-premium-41-munroe-place-renovated-suite/1570421311,0
222,1495,"1114-5200 Parliament Ave, Regina, SK S4W 0R5, Canada",Condo,2,2.0,1,1,1,Not Included,1,1 Year,0,900,1,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Concierge', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']",/v-apartments-condos/regina/furnished-2br-2bath-den-available-on-g-floor/1570332578,1
223,1089,"239 Centennial St, Regina, SK S4S 6T5, Canada",Condo,2,1.0,0,1,1,Cable / TVInternet,1,1 Year,1,850,0,"['Laundry (In Unit)', 'Fridge / Freezer']",1,['Balcony'],0,['Storage Space'],/v-apartments-condos/regina/nice-and-bright-condo-for-rent/1569644020,0
224,1100,"Tutor Way, Regina, SK S4W 0G4, Canada",Basement,2,1.0,1,1,1,Internet,2,1 Year,0,975,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/unfurnished-basement-suite-with-side-entrance-for-rentjune-1100/1570405943,0
226,1148,"41 Munroe Place, Regina, SK, S4S 6A7",Apartment,2,1.0,0,1,1,Cable / TV,0,1 Year,1,850,0,"['Laundry (In Unit)', 'Fridge / Freezer']",1,"['Yard', 'Balcony']",1,"['24 Hour Security', 'Storage Space']",/v-apartments-condos/regina/2-bedroom-41-munroe-place/1505840039,0
227,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,840,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Elevator in Building']",/v-apartments-condos/regina/harbour-view-estates-2-bedroom-1-bathroom-apartment-for-rent/1551597919,0
229,1300,"331  Broad Street North, Regina, SK, S4R 2X8",Apartment,2,2.0,0,1,1,Not Included,0,1 Year,1,832,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/newly-renovated-2-bedroom-apartment-for-rent/1564023315,0
230,1100,", Regina South S4W0G4 SK, Canada",Basement,2,1.0,1,1,1,Internet,2,1 Year,0,975,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/two-bedrooms-basement-suite-unfurnished-available-in-june-1100/1570403435,0
231,1450,"5663 Mitchinson Way, Regina, SK, S4W 0P9",Apartment,3,2.0,0,0,0,Not Included,0,1 Year,1,1000,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/mitchinson-way-fourplex-3-bedroom-upper-suite-house-for-rent/1568798615,0
232,945,"2410  15th Avenue, Regina, SK, S4P 1A4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,620,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/1-bedroom-apartment-parking-available/1570393194,0
233,1350,"48 B Nollet Ave, Regina S4T 7P9 SK",Condo,2,1.0,0,1,1,Not Included,1,1 Year,0,1000,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-normanview-condo-for-rent/1570389790,0
234,750,"3208 Westgate Ave, Regina, SK S4S 1B3, Canada",Apartment,1,1.0,0,1,1,Not Included,1,1 Year,0,500,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Not Included'],0,['Bicycle Parking'],/v-apartments-condos/regina/lakeview-1-bedroom-suite/1559817470,0
235,1200,"1823 York St, Regina, SK S4T 4R3, Canada",House,2,1.0,0,0,0,Not Included,2,1 Year,0,750,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/house-for-rent/1567891401,0
239,750,"80 Hanbidge Cres, Regina, SK, S4R 7C4",Apartment,1,1.0,0,1,1,Not Included,1,1 Year,0,820,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/1st-month-free-1-bedroom-only-750-00/1505776947,0
243,800,"131 Angus Rd, Regina, SK S4R 5E4, Canada",Apartment,1,1.0,1,1,1,Not Included,1,Month-to-month,1,650,0,['Laundry (In Building)'],1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/1-bdrm-apartment-for-rent-july-1/1570322181,0
244,1295,"Dakota Dr, Regina, SK S4Z, Canada",Condo,2,2.0,0,0,1,Not Included,2,1 Year,0,1160,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Storage Space', 'Elevator in Building']",/v-apartments-condos/regina/2-bedrooms-2-baths-condo-for-rent/1569602928,0
245,1590,"5290 Aerodrome Rd, Regina, SK S4W 0P4, Canada",Townhouse,3,1.5,0,0,0,Not Included,1,1 Year,0,1100,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",0,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/3-bed1-5-bath-townhouse-available-immediately-in-harbour-landing/1570292130,0
246,1155,"539 Wascana St, Regina, SK S4R 4J3, Canada",Duplex/Triplex,2,1.0,0,0,0,Not Included,0,1 Year,0,1030,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-main-floor-suite/1570287711,0
247,350,", Scarborough  M1B4P7  ON, Canada",Basement,1,1.0,1,1,1,Not Included,0,1 Year,0,200,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/room-for-rent-to-student-professional-in-scarborough/1555623144,0
248,1350,"2236 Wallace St, Regina, SK S4N 4A7, Canada",House,2,1.0,1,1,1,Not Included,1,1 Year,1,772,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-main-floor-for-rent-available-august-1st/1570277993,0
249,1500,"Balmoral St, Yorkton, SK S3N, Canada",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,0,904,1,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Elevator in Building']",/v-apartments-condos/regina/executive-2-bdrm-furnished-condo-in-yorkton/1570273648,0
250,1150,"1969 St John St, Regina, SK, S4P 1S3",Apartment,2,1.0,0,0,0,Not Included,0,1 Year,1,747,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/downtown-apartment-for-rent-1969-st-john-st/1505786755,0
257,999,"1424 Victoria Ave, Regina, SK, S4P 0P3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,585,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/downtown-apartment-for-rent-1424-victoria-ave/1505780201,0
260,854,"3823 Retallack Street, Regina, SK, S4S 3B7",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,480,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3823-retallack-street/1505779715,0
261,854,"4050 Rae Street, Regina, SK, S4S 3A3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,410,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4050-rae-street/1505779688,0
262,1074,"3823 Retallack Street, Regina, SK, S4S 3B7",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3823-retallack-street/1505779731,0
263,1074,"4050 Rae Street, Regina, SK, S4S 3A3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4050-rae-street/1505779701,0
264,994,"3823 Retallack Street, Regina, SK, S4S 3B7",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3823-retallack-street/1505779686,0
266,925,"Central Estevan, Estevan, SK, S4A 3A2",Condo,1,1.0,0,1,1,Not Included,1,1 Year,1,775,1,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Concierge', '24 Hour Security', 'Bicycle Parking', 'Elevator in Building']",/v-apartments-condos/regina/estevan-newer-executive-condos-1-2-bedrooms-rent-for-900/1517255658,0
267,1000,"Central Estevan, Estevan, SK, S4A 1P7",Apartment,2,1.0,0,1,1,Not Included,2,1 Year,1,1025,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",0,"['Yard', 'Balcony']",0,"['Concierge', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']",/v-apartments-condos/regina/estevan-2br-apartment-with-insuite-laundry-ac-dishwasher/1517255661,0
268,1175,"Central Estevan, Estevan, SK, S4A 1P7",Condo,2,1.0,0,1,1,Not Included,1,1 Year,1,1000,1,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Concierge', '24 Hour Security', 'Elevator in Building']",/v-apartments-condos/regina/estevan-new-2-bedroom-condos-for-rent-today/1517255667,0
270,1268,"700 Gladmer Pk., Regina, SK, S4P 2W9",Townhouse,3,1.0,0,0,0,Cable / TV,1,1 Year,1,1056,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",0,"['Yard', 'Balcony']",1,['Not Included'],/v-apartments-condos/regina/3-bedroom-townhouse-700-gladmer-pk/1562235323,0
271,799,"1424 Victoria Ave, Regina, SK, S4P 0P3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,520,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/downtown-apartment-for-rent-1424-victoria-ave/1505780189,0
272,1285,"3928 Green Falls Drive, Regina, SK, S4V 3M1",Apartment,2,1.0,0,1,1,Not Included,0,Month-to-month,1,840,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Pool', 'Elevator in Building']",/v-apartments-condos/regina/sterling-manor-2-bedroom-1-bathroom-apartment-for-rent/1549748796,0
274,850,"2175  Rae Street, Regina, SK, S4T 2E8",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,380,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/beautiful-bachelor-apartment-for-rent-recently-renovated/1561139252,0
275,950,"2115  Montague St, Regina, SK, S4T 3K1",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,465,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/1-bedroom-apartment-close-to-university-of-regina/1559744230,0
276,1300,"5281 Aviator Crescent, S4W0G9, Regina, SK",Basement,2,1.5,0,1,1,Internet,1,1 Year,0,1100,0,"['Laundry (In Unit)', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-1-5-bathroom-walkout-basement-1300-all-inclusive/1570232444,0
277,1500,"138 Turner Crescent, Regina, SK S4N 4P6, Canada",House,3,1.0,0,0,0,Not Included,2,1 Year,1,1000,1,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/beautiful-house-for-rent/1570226263,0
278,1000,"2151 Hamilton Street, S4P 2E5, Regina, SK",Apartment,1,1.0,0,1,1,Not Included,0,Month-to-month,0,680,0,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,['Not Included'],0,"['Concierge', '24 Hour Security']",/v-apartments-condos/regina/gorgeous-renovated-downtown-apartment/1570211379,0
280,795,"2151 Hamilton Street, S4P 2E5, Regina, SK",Apartment,1,1.0,0,1,1,Not Included,0,Month-to-month,0,680,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Not Included'],0,"['Concierge', '24 Hour Security']",/v-apartments-condos/regina/character-one-bedroom-downtown/1570209618,0
281,700,"4701 4 Ave, Regina, SK S4T 0J5, Canada",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,0,700,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Not Included'],0,['24 Hour Security'],/v-apartments-condos/regina/bright-and-spacious-2-bedroom-apt/1563069117,0
283,750,"1142 Garry St, Regina, SK S4T 5R4, Canada",House,1,1.0,0,0,0,Not Included,2,1 Year,1,750,0,['Laundry (In Unit)'],0,['Yard'],1,['Not Included'],/v-apartments-condos/regina/for-rent/1570174338,1
284,900,"4045 Rae St, Regina, SK S4S 6Y8, Canada",Condo,1,1.0,0,1,1,Not Included,1,1 Year,0,710,0,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', '24 Hour Security', 'Bicycle Parking']",/v-apartments-condos/regina/one-bedroom-apartement-for-rent/1562277110,0
286,850,"1431 Rae, S4p 3g1, Regina, SK",House,2,1.0,0,0,0,Not Included,1,1 Year,0,600,0,['Not Included'],0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/regina-house-for-rent/1570149966,0
288,925,", Regina S4T1Y5 SK, Canada",Duplex/Triplex,2,1.0,0,0,0,Not Included,1,Month-to-month,1,1050,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/2bdrm-in-4-plex-july1-5-appliances-quiet-property-petsconsid/1570137176,0
289,1500,"1829 Second A Street, S4A 0J8, Estevan, SK",House,4,2.0,0,1,0,Not Included,3,1 Year,0,1200,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/five-bedrooms-and-two-bathrooms-for-rent-in-estevan/1570122250,1
291,975,"718 3rd St, Estevan, SK S4A 0P7, Canada",Condo,1,1.0,0,1,1,Not Included,1,1 Year,0,785,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Concierge', '24 Hour Security', 'Storage Space', 'Elevator in Building']",/v-apartments-condos/regina/estevan-newest-1-bedroom-condo/1549502131,0
292,1100,"Regina, SK, Canada, S4N 1T2",Duplex/Triplex,1,1.0,0,0,0,Not Included,2,1 Year,0,900,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/3-bed-rooms-duplex-for-rent/1570097085,0
293,854,"3954 Retallack Street, Regina, SK, S4S 3B9",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,480,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3954-retallack-street/1505779654,0
295,1414,"4130 Rae Street, Regina, SK, S4S 3A4",Apartment,3,1.0,0,1,1,Not Included,0,1 Year,1,1161,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4130-rae-street/1505779486,0
296,994,"4140 Rae Street, Regina, SK, S4S 3A4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4140-rae-street/1505779527,0
297,1074,"4049 Retallack Street, Regina, SK, S4S 3C2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4049-retallack-street/1505779471,0
298,1154,"4064 Rae Street, Regina, SK, S4S 3A3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4064-rae-street/1505779533,0
299,799,"1538 Alexandra Street, Regina, SK, S4T 4N9",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,650,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Not Included'],1,['Not Included'],/v-apartments-condos/regina/west-apartment-for-rent-1538-alexandra-street/1505779116,0
300,1525,"4160 Rae Street, Regina, SK, S4S 3A4",Apartment,3,1.0,0,1,1,Not Included,0,1 Year,1,1061,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4160-rae-street/1505779616,0
302,1504,"2915 Parliament Ave, Regina, SK, S4S 2L3",Apartment,3,1.0,0,1,1,Not Included,0,1 Year,1,1161,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-2915-parliament-ave/1505779323,0
303,734,"4120 Retallack Street, Regina, SK, S4S 3C3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,320,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4120-retallack-street/1505779477,0
304,1154,"4160 Rae Street, Regina, SK, S4S 3A4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4160-rae-street/1505779615,0
305,849,"4100 Retallack Street, Regina, SK, S4S 3C3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,650,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4100-retallack-street/1505779492,0
306,1154,"4040 Rae Street, Regina, SK, S4S 3A3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4040-rae-street/1505779587,0
307,1154,"4020 Robinson Street, Regina, SK, S4S 3C9",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,720,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4020-robinson-street/1505779660,0
308,854,"3854 Rae Street, Regina, SK, S4S 3A1",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,480,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3854-rae-street/1505779117,0
309,999,"4030 Rae Street, Regina, SK, S4S 3A3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4030-rae-street/1505779424,0
310,864,"1538 Alexandra Street, Regina, SK, S4T 4N9",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,480,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Not Included'],1,['Not Included'],/v-apartments-condos/regina/west-apartment-for-rent-1538-alexandra-street/1505779119,0
311,1104,"1520 Alexandra Street, Regina, SK, S4T 4N9",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,880,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/west-apartment-for-rent-1520-alexandra-street/1505779154,0
312,1154,"2821 Parliament Ave, Regina, SK, S4S 2L1",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-2821-parliament-ave/1505779264,0
313,734,"2924 Parliament Ave, Regina, SK, S4S 2L4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,320,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-2924-parliament-ave/1505779313,0
314,994,"4150 Rae Street, Regina, SK, S4S 3A4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4150-rae-street/1505779646,0
316,1030,"2240 Robinson Street, Regina, SK, S4T 2P9",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,870,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/pet-friendly-2-bedroom-available-for-rent/1567665722,0
317,850,"2175  Rae Street, Regina, SK, S4T 2E8",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,380,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/beautiful-bachelor-apartment-for-rent-recently-renovated/1561139252,0
318,1285,"3928 Green Falls Drive, Regina, SK, S4V 3M1",Apartment,2,1.0,0,1,1,Not Included,0,Month-to-month,1,840,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Pool', 'Elevator in Building']",/v-apartments-condos/regina/sterling-manor-2-bedroom-1-bathroom-apartment-for-rent/1549748796,0
319,1319,"75 Cavendish St., Regina, SK, S4N 5B9",Townhouse,3,1.5,0,0,0,Cable / TV,1,1 Year,1,1047,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,"['Yard', 'Balcony']",1,['Not Included'],/v-apartments-condos/regina/3-bedroom-townhouse-75-cavendish-st/1569904747,0
320,725,"3955 Robinson Street, Regina, SK, S4S 3C7",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,480,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3955-robinson-street/1505779605,0
321,1174,"4140 Rae Street, Regina, SK, S4S 3A4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4140-rae-street/1505779523,0
322,1154,"4130 Rae Street, Regina, SK, S4S 3A4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4130-rae-street/1505779467,0
323,1074,"4029 Retallack Street, Regina, SK, S4S 3C2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4029-retallack-street/1505779455,0
324,849,"3955 Retallack Street, Regina, SK, S4S 3C1",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3955-retallack-street/1505779552,0
325,1074,"3918 Rae Street, Regina, SK, S4S 3A2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3918-rae-street/1505779489,0
326,1684,"68 Rae Street, Regina, SK, S4S 3A4",House,2,1.0,0,0,0,Not Included,0,1 Year,1,1848,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4166-68-rae-street/1505779519,0
327,1014,"4049 Retallack Street, Regina, SK, S4S 3C2",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4049-retallack-street/1505779480,0
328,994,"4120 Retallack Street, Regina, SK, S4S 3C3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4120-retallack-street/1505779474,0
329,1074,"2935 Parliament Avenue, Regina, SK, S4S 2L3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-2935-parliament-avenue/1505779345,0
330,1154,"2805 Parliament Ave, Regina, SK, S4S 2L1",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-2805-parliament-ave/1505779295,0
331,854,"4150 Rae Street, Regina, SK, S4S 3A4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,480,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4150-rae-street/1505779625,0
332,1154,"3930 Rae Street, Regina, SK, S4S 3A2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3930-rae-street/1505779286,0
333,999,"4150 Rae Street, Regina, SK, S4S 3A4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4150-rae-street/1505779649,0
334,1134,"2121 Smith Street, Regina, SK, S4P 2P3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,910,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/downtown-apartment-for-rent-2121-smith-street/1505779130,0
335,794,"4020 Robinson Street, Regina, SK, S4S 3C9",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4020-robinson-street/1505779635,0
336,849,"3954 Retallack Street, Regina, SK, S4S 3B9",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3954-retallack-street/1505779653,0
